"objid","baumnummer","geometry"
"23678","SW-10583","POINT (2684471 1251083.9)"
"1703","SW-9116","POINT (2685072.8 1251055.9)"
"125084","SW-12174","POINT (2684639.8 1250998.4)"
"129017","SW-364","POINT (2685070.5 1250945.2)"
"187106","SW-7294","POINT (2684814.5 1251331.8)"
"1409","SW-1392","POINT (2685077.5 1251087.1)"
"11633","SW-10641","POINT (2685151.2 1250951.1)"
"128558","SW-211","POINT (2684469.2 1251103.1)"
"187343","SW-9070","POINT (2684843.5 1251332)"
"196607","SW-12721","POINT (2685115 1251043.1)"
"1412","SW-1393","POINT (2685077.5 1251084.1)"
"125081","SW-12175","POINT (2684629.8 1250998.9)"
"179984","SW-12595","POINT (2685116.8 1251052.1)"
"32738","SW-10728","POINT (2684498.8 1251091.6)"
"196619","SW-5281","POINT (2685153.5 1250996.4)"
"128876","SW-383","POINT (2684810.8 1250964.6)"
"11621","SW-10637","POINT (2685148.8 1250803.9)"
"37883","SW-223","POINT (2684591.2 1251080.8)"
"60569","SW-7127","POINT (2684895.8 1251248.4)"
"187919","SW-9416","POINT (2685158.2 1251028)"
"1415","SW-1394","POINT (2685077.2 1251081)"
"65810","SW-5633","POINT (2684731.2 1250907.9)"
"1700","SW-9115","POINT (2685079 1251056.2)"
"187646","SW-5301","POINT (2685103.5 1251003)"
"137702","SW-357","POINT (2684990.8 1250958.5)"
"187109","SW-7292","POINT (2684830.8 1251321.9)"
"129014","SW-363","POINT (2685059.5 1250947)"
"187634","SW-5311","POINT (2685028.5 1250969.1)"
"65816","SW-5315","POINT (2685005.2 1250965.1)"
"187922","SW-12599","POINT (2685152 1251060.5)"
"20126","SW-10202","POINT (2685149.2 1250944.9)"
"128858","SW-379","POINT (2684743.2 1250989.4)"
"65822","SW-9403","POINT (2685138.8 1250943.5)"
"125078","SW-12176","POINT (2684619.8 1250999.4)"
"187649","SW-5303","POINT (2685114 1251022.8)"
"204590","SW-5228","POINT (2685087.5 1251045.1)"
"128999","SW-354","POINT (2684956.8 1250964.2)"
"1421","SW-1396","POINT (2685082 1251082.4)"
"60710","SW-271","POINT (2684514.5 1251002.9)"
"125090","SW-12172","POINT (2684659 1250997.8)"
"137708","SW-353","POINT (2684945.5 1250966.1)"
"65813","SW-5631","POINT (2684719.5 1250909.1)"
"204572","SW-5305","POINT (2685062.2 1250956.9)"
"80771","SW-1426","POINT (2684826.2 1250939)"
"204584","SW-5227","POINT (2685081.2 1251044.6)"
"71798","SW-10221","POINT (2684531.5 1251008.5)"
"128861","SW-380","POINT (2684752 1250988)"
"128864","SW-378","POINT (2684733 1250990.8)"
"187112","SW-7296","POINT (2684825.2 1251336.1)"
"128996","SW-350","POINT (2684839.8 1250987.4)"
"107081","SW-362","POINT (2685048.5 1250948.9)"
